id,nome,coord_x,coord_y
88,Max Catania Auto,14.502715,39.957539
89,Prime Catania Food,8.802081,43.548252
90,Milano Venezia SpA,13.329263,40.804397
91,Max Milano Services,9.022192,44.829044
92,Italia Cagliari Elite,11.801432,43.661649
93,Prime Modena Green,14.406209,39.508136
94,Nova Cagliari Elite,16.321082,44.462064
95,Elite Catania Tech,8.268248,36.989865
96,Nova Parma Venezia,11.964994,45.893051
97,Tech Livorno Srl,12.432526,39.086235
98,Tech Milano Express,9.126094,45.023564
99,Euro Modena Max,13.18887,46.225182
100,Prime Torino Max,16.116999,43.576324
101,Green Reggio Calabria Venezia,17.900475,45.949115
102,Tech Cagliari Auto,16.46683,42.307443
103,Italia Genova Green,9.610299,39.120741
104,Italia Bari Auto,14.020981,39.410733
105,Elite Napoli Services,9.760581,39.888921
106,Prime Reggio Calabria Store,8.309968,40.560174
107,Nova Palermo Srl,11.478415,40.007343
108,Euro Messina Euro,8.982013,40.953521
109,Milano Livorno Lab,11.064572,36.562498
110,Tech Padova Services,16.741375,46.606362
111,Roma Trieste Food,16.098418,46.0168
112,Max Parma Tech,11.730032,36.807663
113,Prime Verona Nova,16.586068,46.247141
114,Euro Cagliari Food,17.383146,42.774063
115,Tech Milano Store,8.128394,41.394004
116,Tech Roma Solutions,10.428232,41.319813
117,Max Verona Nova,15.524118,45.318397
118,Italia Bari Store,6.732599,42.217842
119,Nova Padova Tech,15.874797,43.408599
120,Elite Milano Tech,16.570746,43.086158
121,Italia Firenze Market,14.533506,42.478078
122,Max Bologna Max,15.702777,38.278565
123,Prime Cagliari Express,18.076649,37.645847
124,Milano Milano Services,14.628167,46.656632
125,Nova Venezia Srl,13.605174,45.304059
126,Max Firenze Express,16.703519,42.864363
127,Euro Torino Italia,10.666445,41.040807
128,Roma Padova Store,14.270519,36.634113
129,Nova Trieste Green,11.702281,40.339193
130,Tech Messina Market,8.613644,42.030516
131,Roma Bari Venezia,15.795697,41.427662
132,Green Livorno Solutions,16.720558,45.305749
133,Italia Napoli Solutions,9.426361,41.42591
134,Green Cagliari Nova,6.8444,45.5201
135,Elite Genova Green,10.7579,39.238536
136,Max Bari Venezia,13.169492,41.976249
137,Elite Bologna Store,15.140896,41.678925
138,Italia Firenze Green,11.878095,36.682779
139,Tech Catania Tech,14.801446,39.745784
140,Italia Livorno Prime,13.141675,40.143828
141,Green Reggio Calabria Elite,14.934259,39.371714
142,Nova Bari Tech,15.155412,39.844808
143,Elite Reggio Calabria SpA,9.096616,41.632505
144,Milano Livorno Auto,9.895984,37.565577
145,Elite Bologna Services,10.830573,39.704036
146,Max Reggio Calabria Market,7.046188,37.077976
147,Italia Catania Market,7.731052,36.630013
148,Italia Catania Green,11.785626,38.454255
149,Italia Roma Solutions,7.869046,37.19264
150,Milano Parma Store,14.053348,37.068256
